question_idx,question,gold_answer,gold_source,gold_article,legal_domain,difficulty,predicted_answer,retrieved_sources,retrieved_articles,top_chunk_ids,retrieval_count,source_hit,article_hit@1,article_hit@3,article_hit@5,rouge_l,bleu,token_f1,timestamp
29,Gözaltı süresi bireysel suçlarda ve toplu suçlarda en fazla ne kadardır?,"Gözaltı süresi, yakalama anından itibaren yirmi dört saati geçemez; toplu suçlarda Cumhuriyet savcısının yazılı emriyle her defasında bir günü geçmemek üzere uzatılabilir ve toplam süre dört günü aşamaz. Kişi bu süre sonunda hâkim önüne çıkarılmalı veya serbest bırakılmalıdır.",5271 Sayılı Ceza Muhakemesi Kanunu,,Ceza Muhakemesi Hukuku,medium,"Gözaltı süresi bireysel suçlarda en fazla 24 saat, toplu suçlarda en fazla 48 saattir.

Destek kaynakları:
* Ceza Muhakemesi Kanunu","[""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu"", ""T\u00fcrk Ceza Kanunu""]","[null, null, null]","[""doc_02043_bb914b72_chunk_0"", ""doc_01919_c726a7ca_chunk_0"", ""doc_09592_b51f245f_chunk_0""]",3,True,False,False,False,0.1591,0.2,0.1154,2026-04-01T21:01:28.425465
30,"Soruşturma aşamasında ""gizlilik kararı"" (kısıtlama) hangi belgeleri kapsayamaz?","Soruşturma evresinde kısıtlama kararı verilse bile müdafi; şüphelinin ifadesine, bilirkişi raporlarına ve hazır bulunmaya yetkili olduğu diğer adli işlemlere ilişkin tutanaklara erişebilir. Bu belgeler kısıtlama kararının kapsamı dışında kalır.",5271 Sayılı Ceza Muhakemesi Kanunu,,Ceza Muhakemesi Hukuku,medium,"Soruşturma aşamasında ""gizlilik kararı"" (kısıtlama) hangi belgeleri kapsayamaz?

Verilen bağlamda yeterli bilgi yoktur.","[""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu""]","[null, null, null]","[""doc_02548_42fb37fe_chunk_0"", ""doc_02533_3988534f_chunk_0"", ""doc_03290_e52626f5_chunk_0""]",3,True,False,False,False,0.1818,0.0769,0.0488,2026-04-01T21:01:31.569470
31,"""Naip hakim"" görevlendirilmesi hangi amaçla yapılır?","Naip hâkim, mahkemece bir delilin toplanması veya belirli bir usul işleminin yerine getirilmesi için görevlendirilen hâkimdir. Amaç, özellikle duruşma dışında yapılması gereken işlemlerin daha hızlı ve etkin biçimde gerçekleştirilmesidir.",5271 Sayılı Ceza Muhakemesi Kanunu,,Ceza Muhakemesi Hukuku,easy,Verilen bağlamda yeterli bilgi yoktur.,"[""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu"", ""T\u00fcrk Medeni Kanunu""]","[null, null, null]","[""doc_02456_321dbad2_chunk_0"", ""doc_03662_5fc3faae_chunk_0"", ""doc_05395_7968698c_chunk_0""]",3,True,False,False,False,0.0,0.0,0.0,2026-04-01T21:01:33.000010
32,Gaiplik kararının istenebilmesi için gereken süreler hangi durumlarda ne kadardır?,"Gaiplik, ölüm tehlikesi içinde kaybolmada en az bir yıl; uzun zamandan beri haber alınamama halinde son haber tarihinden itibaren en az beş yıl geçmesiyle istenebilir. Karar, hakları bu ölüme bağlı olanların başvurusu üzerine verilir.",4721 Sayılı Türk Medeni Kanunu,,Medeni Hukuk,medium,"*Verilen bağlamda yeterli bilgi yoktur.* 


**Destek Kaynakları:**

* Türk Medeni Kanunu
* Ceza Muhakemesi Kanunu","[""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu"", ""Ceza Muhakemesi Kanunu""]","[null, null, null]","[""doc_04529_123766c5_chunk_0"", ""doc_04530_22182453_chunk_0"", ""doc_02238_01414422_chunk_0""]",3,True,False,False,False,0.0339,0.0,0.0,2026-04-01T21:01:36.333203
33,Altsoy bulunmayan durumlarda eşin miras payı oranları nasıldır?,"Altsoy yoksa sağ kalan eş, mirasbırakanın ana ve baba zümresiyle birlikte mirasçı olursa mirasın yarısını; büyük ana ve büyük baba zümresiyle birlikte olursa dörtte üçünü alır. Bu zümrelerden hiç mirasçı yoksa mirasın tamamı eşe kalır.",4721 Sayılı Türk Medeni Kanunu,,Medeni Hukuk,medium,"Altsoy bulunmayan durumlarda eşin miras payı oranı, yasal miras payının dörtte üçüdür. 

**Destek Kaynakları:**

* Türk Medeni Kanunu, Madde 540","[""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu""]","[null, null, null]","[""doc_05294_028bb60d_chunk_0"", ""doc_05528_7a1944f0_chunk_0"", ""doc_05296_c3ec5dcc_chunk_0""]",3,True,False,False,False,0.2338,0.1,0.0909,2026-04-01T21:01:40.507192
34,"Evlilik birliğinin sarsılması nedeniyle açılan boşanma davasında ""ortak hayatın yeniden kurulması""nın hukuki sonucu nedir?","Evlilik birliğinin sarsılması sebebiyle açılan boşanma davası reddedilir ve karar kesinleşmesinden itibaren üç yıl içinde ortak hayat yeniden kurulamamış olursa, evlilik birliği temelinden sarsılmış sayılır ve eşlerden birinin istemi üzerine boşanmaya karar verilir.",4721 Sayılı Türk Medeni Kanunu,,Medeni Hukuk,medium,"Verilen bağlamda ""ortak hayatın yeniden kurulması""nın hukuki sonucu hakkında bilgi bulunmamaktadır. 


Destek kaynakları:
* Türk Medeni Kanunu","[""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu""]","[null, null, null]","[""doc_03933_f94c3920_chunk_0"", ""doc_03934_46ef2bee_chunk_0"", ""doc_03936_f3daa9f9_chunk_0""]",3,True,False,False,False,0.1176,0.0588,0.0426,2026-04-01T21:01:44.061370
35,İyiniyetli zilyedin taşınırı iktisap etmesi (kazanması) için gereken şartlar nelerdir?,"İyiniyetli kişi, malik olmayan fakat taşınırı malik tarafından zilyetliği devredilmiş kişiden taşınırı teslim alırsa mülkiyeti kazanabilir. Kazanım için devralanın iyiniyetli olması ve taşınırın çalınmış, kaybedilmiş veya irade dışı elden çıkmış olmaması gerekir.",4721 Sayılı Türk Medeni Kanunu,,Medeni Hukuk,medium,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu""]","[null, null, null]","[""doc_06659_b8005227_chunk_0"", ""doc_05032_55c08c8f_chunk_1"", ""doc_04962_d66cfb87_chunk_0""]",3,True,False,False,False,0.0,0.0,0.0,2026-04-01T21:01:45.513792
36,"""Mirasın reddi"" (reddi miras) süresi ne zamandan itibaren başlar ve ne kadardır?","Mirasın reddi süresi, yasal mirasçılar için mirasçı olduklarını öğrendikleri tarihten; atanmış mirasçılar için tasarrufun kendilerine resmen bildirildiği tarihten itibaren üç aydır.",4721 Sayılı Türk Medeni Kanunu,,Medeni Hukuk,easy,"Mirasın reddi süresi, mirasın açılmasından itibaren **bir ay** içinde başlar ve **bir ay** sürer. 


Destek Kaynakları:
* Türk Medeni Kanunu, Madde 600","[""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu""]","[null, null, null]","[""doc_05654_2d346aaa_chunk_0"", ""doc_05629_62d64660_chunk_0"", ""doc_05404_2da043e9_chunk_0""]",3,True,False,False,False,0.2712,0.2273,0.2105,2026-04-01T21:01:49.965617
37,"Mirasçılıktan çıkarma (ıskat) sebeplerinden ""aile hukukundan doğan ödevlerin ihlali""nin kapsamı nedir?","Aile hukukundan doğan ödevlerin ağır biçimde ihlali, mirasçılıktan çıkarma sebebi olabilir. Bu ihlal, mirasbırakana veya ailesine karşı kanundan doğan yükümlülüklerin ciddi biçimde yerine getirilmemesini ifade eder ve tasarrufta sebebin gösterilmesi gerekir.",4721 Sayılı Türk Medeni Kanunu,,Medeni Hukuk,medium,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu""]","[null, null, null]","[""doc_05306_c9b9e2f4_chunk_0"", ""doc_05305_8bdf6294_chunk_0"", ""doc_05261_96846ced_chunk_0""]",3,True,False,False,False,0.0,0.0,0.0,2026-04-01T21:01:51.395160
38,Elbirliği mülkiyetinin paylı mülkiyete dönüştürülmesi usulü nasıl işler?,"Elbirliği mülkiyetinin paylı mülkiyete dönüştürülmesi, miras ortaklığında paydaşlardan birinin istemi üzerine ve haklı bir itiraz bulunmaması halinde hâkim kararıyla mümkündür. Hâkim, terekenin tamamı veya belirli mallar üzerinde paylı mülkiyete geçilmesine karar verebilir.",4721 Sayılı Türk Medeni Kanunu,,Medeni Hukuk,medium,"Elbirliği mülkiyetinin paylı mülkiyete dönüştürülmesi usulü, mirasçılar arasında bir anlaşmazlık olmadığında ve mirasçılar elbirliği mülkiyetinin devam etmesini istemediğinde uygulanır. Bu durumda, bir mirasçı sulh hakimliğine başvurarak elbirliği mülkiyetinin paylı mülkiyete dönüştürülmesini isteyebilir. Sulh hakimliği, diğer mirasçılara da çağrıda bulunarak itiraz etmeleri için belirli bir süre tanır. Eğer itiraz olmazsa, elbirliği mülkiyeti paylı mülkiyete dönüştürülür.

Destek Kaynakları:
* Türk Medeni Kanunu","[""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu""]","[null, null, null]","[""doc_05685_202cc4dc_chunk_0"", ""doc_05733_4687059b_chunk_0"", ""doc_05684_c66cd506_chunk_0""]",3,True,False,False,False,0.2895,0.3333,0.2105,2026-04-01T21:02:02.639982
39,Tacir olmanın temel sonuçları (hükümleri) nelerdir?,"Tacir; her türlü borcu için iflasa tabi olur, ticaret unvanı seçip kullanmak, ticari işletmesini tescil ettirmek ve gerekli ticari defterleri tutmakla yükümlüdür. Ayrıca tüm ticari faaliyetlerinde basiretli bir iş adamı gibi davranmak zorundadır.",6102 Sayılı Türk Ticaret Kanunu,,Ticaret Hukuku,medium,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Ceza Kanunu"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrk Ceza Kanunu""]","[null, null, null]","[""doc_12379_54da28a9_chunk_0"", ""doc_01359_ce6d3552_chunk_0"", ""doc_11198_d9bad485_chunk_1""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:02:04.359953
40,Ticari işletme devri sözleşmesinin geçerlilik şartları nelerdir?,"Ticari işletmenin devri sözleşmesinin geçerliliği için yazılı yapılması ve ticaret siciline tescil ile ilan edilmesi gerekir. Devir, aksi kararlaştırılmadıkça işletmeye dâhil malvarlığı unsurlarını bir bütün olarak geçirir.",6102 Sayılı Türk Ticaret Kanunu,,Ticaret Hukuku,medium,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrk Medeni Kanunu""]","[null, null, null]","[""doc_08793_2cf5a100_chunk_0"", ""doc_08434_fedf5d24_chunk_0"", ""doc_06037_6114f0fa_chunk_0""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:02:05.771915
41,"Sigorta hukukunda ""halefiyet"" ilkesi neyi ifade eder?","Sigortacı, sigorta tazminatını ödedikten sonra hukuken sigortalının yerine geçer ve zarar sorumlusuna karşı sigortalının sahip olduğu hakları ödediği miktar ölçüsünde kullanabilir. Halefiyetin doğumu için tazminatın fiilen ödenmiş olması gerekir.",6102 Sayılı Türk Ticaret Kanunu,,Ticaret Hukuku,medium,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrk Medeni Kanunu""]","[null, null, null]","[""doc_01373_9ad9866e_chunk_0"", ""doc_00668_705b465a_chunk_0"", ""doc_06277_cc300575_chunk_0""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:02:07.185117
42,"Anonim şirketlerde ""azınlık hakları"" hangi orandaki pay sahiplerine tanınmıştır?","Anonim şirkette azınlık hakları, sermayenin en az onda birini temsil eden pay sahiplerine tanınır. Halka açık şirketlerde bu oran yirmide birdir.",6102 Sayılı Türk Ticaret Kanunu,,Ticaret Hukuku,easy,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Ceza Kanunu""]","[null, null, null]","[""doc_05812_4ce5ef30_chunk_0"", ""doc_05800_e97993aa_chunk_0"", ""doc_11951_b707fdde_chunk_1""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:02:08.631842
43,"""Haksız rekabet""te ""yanıltıcı reklam""ın unsurları nelerdir?","Yanıltıcı reklam, rakipler veya müşteriler bakımından gerçeğe aykırı ya da aldatıcı bilgi verilmesi suretiyle ekonomik kararları etkilemeye elverişli tanıtımdır. Haksız rekabet sayılabilmesi için dürüstlük kuralına aykırı ve aldatıcı nitelik taşıması gerekir.",6102 Sayılı Türk Ticaret Kanunu,,Ticaret Hukuku,medium,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu""]","[null, null, null]","[""doc_11002_bc2b39c3_chunk_0"", ""doc_10515_6d283bc9_chunk_0"", ""doc_12117_b625181c_chunk_0""]",3,False,False,False,False,0.0333,0.2,0.0588,2026-04-01T21:02:10.046843
44,Haftalık çalışma süresi üst sınırı nedir ve bu süre nasıl bölüştürülür?,Haftalık normal çalışma süresi kural olarak en çok kırk beş saattir. Tarafların anlaşmasıyla bu süre işyerinde haftanın çalışılan günlerine farklı biçimde dağıtılabilir; ancak günlük çalışma süresi kanuni üst sınırları aşamaz.,4857 Sayılı İş Kanunu,,İş Hukuku,easy,"Haftalık çalışma süresi üst sınırı 45 saattir. Taraflar anlaşarak bu süreyi haftanın farklı günlerine eşit olarak dağıtabilirler. Ancak, iki aylık süre içinde işçinin haftalık ortalama çalışma süresi 45 saati aşamaz. 

Destek Kaynakları:
* Türkiye Cumhuriyeti İş Kanunu","[""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu"", ""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu"", ""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu""]","[null, null, null]","[""doc_13008_9822af2c_chunk_0"", ""doc_13595_651ed74a_chunk_0"", ""doc_13363_95ce28cd_chunk_0""]",3,False,False,False,False,0.4444,0.4054,0.3934,2026-04-01T21:02:16.174755
45,Yıllık ücretli izin hakkının doğması için gereken bekleme süresi ve izin süreleri (kıdem yılına göre) nasıldır?,"Yıllık ücretli izin hakkı, işçinin işe başladığı günden itibaren deneme süresi dâhil en az bir yıl çalışmasıyla doğar. Hizmeti bir yıldan beş yıla kadar olanlara en az on dört gün, beş yıldan fazla on beş yıldan az olanlara en az yirmi gün, on beş yıl ve daha fazla olanlara en az yirmi altı gün izin verilir; on sekiz yaş altı ve elli yaş üstü işçiler için alt sınır yirmi gündür.",4857 Sayılı İş Kanunu,,İş Hukuku,medium,"Verilen bağlamda yeterli bilgi yoktur. 
[/INST]","[""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu"", ""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu""]","[null, null, null]","[""doc_12965_e5aad06c_chunk_0"", ""doc_12918_0fa33c0c_chunk_0"", ""doc_08360_e03a238f_chunk_1""]",3,False,False,False,False,0.0192,0.0,0.0,2026-04-01T21:02:17.922556
46,"İş güvencesinden yararlanmak için gerekli olan ""işçi sayısı"" ve ""kıdem"" şartı nedir?","İş güvencesi hükümlerinden yararlanmak için işçinin belirsiz süreli iş sözleşmesiyle çalışması, işyerinde otuz veya daha fazla işçi bulunması ve işçinin en az altı aylık kıdeminin olması gerekir.",4857 Sayılı İş Kanunu,,İş Hukuku,easy,"Verilen bağlamda yeterli bilgi yoktur. 
[/INST]","[""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu""]","[null, null, null]","[""doc_13134_2d9c6944_chunk_0"", ""doc_08478_847ad1a5_chunk_0"", ""doc_12874_9216d6a1_chunk_1""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:02:19.601055
47,Fazla çalışma ücreti hesaplanırken saatlik ücretin artış oranı nedir?,"Fazla çalışma ücreti, normal çalışma ücretinin saat başına düşen miktarının yüzde elli yükseltilmesiyle ödenir. Serbest zaman seçeneği kanundaki şartlarla mümkündür.",4857 Sayılı İş Kanunu,,İş Hukuku,easy,,"[""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu"", ""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu"", ""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu""]","[null, null, null]","[""doc_13594_f3ceb9ad_chunk_0"", ""doc_13576_1f75d947_chunk_0"", ""doc_13602_8c10f1a2_chunk_0""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:02:20.431187
48,"İşverenin ""eşit davranma borcu""na aykırılık halinde işçinin talep edebileceği tazminat miktarı nedir?","Eşit davranma borcuna aykırılık halinde işçi, yoksun bırakıldığı haklarını ve ayrıca dört aya kadar ücreti tutarında uygun bir tazminatı talep edebilir.",4857 Sayılı İş Kanunu,,İş Hukuku,medium,"Verilen bağlamda yeterli bilgi yoktur. 
[/INST]","[""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu""]","[null, null, null]","[""doc_13224_88300f4f_chunk_0"", ""doc_08484_5e365c22_chunk_0"", ""doc_13069_0e8949b3_chunk_0""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:02:22.117005
49,Ev hizmetlerinde çalışanlar İş Kanunu kapsamında mıdır? İstisnaları nelerdir?,Ev hizmetlerinde çalışanlar kural olarak İş Kanunu kapsamı dışındadır. Bu nedenle genel olarak 4857 sayılı Kanunun iş güvencesi ve çalışma süresi gibi hükümleri uygulanmaz; uygulanacak rejim somut olaya göre diğer özel ve genel hükümlere dayanır.,4857 Sayılı İş Kanunu,,İş Hukuku,medium,"Ev hizmetlerinde çalışanlar İş Kanunu kapsamında **genellikle** yer almazlar. Ancak, 4. maddede belirtilen istisnalar dışında kalan bütün işyerlerine uygulanan İş Kanunu'nun bazı hükümlerinden yararlanabilirler. 

Destek Kaynakları:
* Türkiye Cumhuriyeti İş Kanunu, 4. Madde","[""T\u00fcrkiye Cumhuriyeti \u0130\u015f Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu""]","[null, null, null]","[""doc_12798_53182e40_chunk_0"", ""doc_08458_c5e77282_chunk_0"", ""doc_08442_83b04226_chunk_0""]",3,False,False,False,False,0.2418,0.2121,0.1613,2026-04-01T21:02:28.305552
